City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,tura,25.5198,90.2201,307.73,20,0,2.83,IN,1712979628
270,tazacorte,28.629,-17.9293,292.69,52,0,3.09,ES,1712979628
271,coquimbo,-29.9533,-71.3436,287.0,88,20,3.6,CL,1712979169
272,reggane,26.7158,0.1714,289.4,28,0,3.84,DZ,1712979628
273,fruita,39.1589,-108.729,290.79,22,0,2.57,US,1712979629
274,nyurba,63.2842,118.3319,262.48,76,54,2.16,RU,1712979629
275,samana,19.2056,-69.3369,296.94,92,84,4.06,DO,1712979629
276,berezovo,63.9381,65.0419,266.1,72,97,4.06,RU,1712979630
277,floro,61.5996,5.0328,281.19,87,100,9.77,NO,1712979630
278,verkhnevilyuysk,63.4453,120.3167,262.57,75,81,1.53,RU,1712979630
279,fale old settlement,-9.3852,-171.2468,303.43,72,100,4.77,TK,1712979631
280,porto novo,6.4965,2.6036,303.05,80,99,3.59,BJ,1712979631
281,el bauga,18.262,33.9081,294.95,19,3,5.51,SD,1712979631
282,nova xavantina,-14.6667,-52.35,295.79,98,100,0.35,BR,1712979632
283,marsh harbour,26.5412,-77.0636,295.11,66,3,4.22,BS,1712979632
284,baotou,40.6522,109.8222,292.75,44,96,5.04,CN,1712979632
285,osakarovka,50.565,72.5692,280.74,44,37,8.21,KZ,1712979632
286,kaoma,-14.7833,24.8,290.98,92,100,3.2,ZM,1712979633
287,celestun,20.8667,-90.4,297.08,68,7,7.21,MX,1712979633
288,kirakira,-10.4544,161.9205,302.23,79,100,2.08,SB,1712979633
289,quiberon,47.4841,-3.1196,283.93,85,100,4.45,FR,1712979634
290,aripuana,-9.1667,-60.6333,296.19,95,100,0.39,BR,1712979634
291,vila velha,-20.3297,-40.2925,298.12,92,75,1.54,BR,1712979608
292,yuzhno-kurilsk,44.0306,145.8556,282.25,81,43,2.96,RU,1712979634
293,ta`u,-14.2336,-169.5144,302.47,77,69,5.7,AS,1712979635
294,cururupu,-1.8283,-44.8683,297.19,100,100,0.14,BR,1712979635
295,severo-yeniseyskiy,60.3725,93.0408,265.14,71,96,3.58,RU,1712979635
296,arraial do cabo,-22.9661,-42.0278,298.34,79,3,5.01,BR,1712979636
297,kolosovka,56.4678,73.611,278.73,93,97,4.93,RU,1712979636
298,la passe,45.5549,-0.8967,284.28,88,19,1.81,FR,1712979636
299,belmonte,-15.8631,-38.8828,298.17,88,18,3.05,BR,1712979636
300,hamilton,39.1834,-84.5333,284.3,84,40,5.36,US,1712979354
301,okha,53.5739,142.9478,278.85,82,100,7.6,RU,1712979433
302,bengkulu,-3.8004,102.2655,303.01,69,97,2.14,ID,1712979637
303,kill devil hills,36.0307,-75.676,289.16,59,0,8.23,US,1712979638
304,gadzhiyevo,69.2551,33.3362,268.69,91,99,4.46,RU,1712979638
305,tynda,55.1667,124.7167,271.93,80,100,1.67,RU,1712979638
306,zhigalovo,54.8097,105.1578,273.46,65,100,5.35,RU,1712979639
307,march,52.5513,0.0883,284.64,1,100,3.54,GB,1712979639
308,edmundston,47.3737,-68.3251,286.28,90,100,7.72,CA,1712979639
309,arno,60.1167,18.6333,278.03,99,69,3.43,SE,1712979639
310,layou,13.2,-61.2667,300.11,78,46,6.55,VC,1712979640
311,i-n-salah,27.1935,2.4607,287.98,36,0,3.13,DZ,1712979640
312,mersa matruh,31.3525,27.2453,287.26,88,0,1.54,EG,1712979640
313,buta,2.7858,24.73,295.22,99,100,1.07,CD,1712979641
314,pacific grove,36.6177,-121.9166,286.21,80,40,6.26,US,1712979641
315,ugoofaaru,5.6667,73.0,302.14,75,100,4.02,MV,1712979642
316,bani walid,31.7566,13.9942,287.79,84,26,7.44,LY,1712979642
317,chimbarongo,-34.7,-71.05,285.64,68,95,0.51,CL,1712979549
318,naze,28.3667,129.4833,295.66,89,86,2.12,JP,1712979642
319,bonthe,7.5264,-12.505,298.2,83,11,2.27,SL,1712979643
320,adi keyh,14.8444,39.3772,291.59,71,1,0.73,ER,1712979643
321,avarua,-21.2078,-159.775,301.18,89,75,5.66,CK,1712979643
322,mildura,-34.2,142.15,293.75,52,0,3.44,AU,1712979558
323,singkil,-7.9855,111.4161,304.85,63,65,1.12,ID,1712979644
324,colonel hill,22.7667,-74.2167,298.99,75,0,4.64,BS,1712979644
325,jutai,-5.1833,-68.9,297.41,94,91,1.04,BR,1712979645
326,anna regina,7.2644,-58.5077,299.12,84,58,3.51,GY,1712979645
327,goure,13.9835,10.2704,301.17,11,100,2.59,NE,1712979645
328,abay,49.6311,72.8539,280.36,42,71,6.36,KZ,1712979645
329,magadan,59.5667,150.8,272.33,95,65,1.07,RU,1712979646
330,nyala,12.05,24.8833,297.33,13,13,7.81,SD,1712979646
331,saint-louis,16.3333,-15.0,305.95,22,88,4.5,SN,1712979646
332,kerikeri,-35.2268,173.9474,294.21,59,1,4.21,NZ,1712979647
333,sechura,-5.5569,-80.8222,296.95,73,19,5.61,PE,1712979647
334,cooma,-36.2333,149.1333,290.28,33,4,1.87,AU,1712979647
335,acapulco de juarez,16.8634,-99.8901,299.05,83,40,2.57,MX,1712979648
336,zyryanovsk,49.7386,84.2719,273.3,51,10,0.69,KZ,1712979648
337,buka,40.8108,69.1986,292.38,65,100,1.07,UZ,1712979648
338,revda,56.801,59.9303,278.66,87,97,3.37,RU,1712979648
339,gamawa,12.1343,10.5396,300.54,13,97,0.47,NG,1712979649
340,calbuco,-41.768,-73.1273,278.71,82,0,2.91,CL,1712979649
341,nemuro,43.3236,145.575,278.88,88,52,4.01,JP,1712979649
342,manokwari,-0.8667,134.0833,301.53,74,72,1.28,ID,1712979542
343,luanshya,-13.1367,28.4166,290.58,91,100,3.75,ZM,1712979650
344,seryshevo,51.0933,128.3786,278.99,81,100,1.79,RU,1712979650
345,bor,56.3567,44.0669,280.37,78,92,5.39,RU,1712979651
346,richards bay,-28.783,32.0377,289.63,79,59,2.11,ZA,1712979651
347,walden,41.5612,-74.1885,285.75,79,100,8.23,US,1712979651
348,campo gallo,-26.5833,-62.85,288.88,98,100,2.92,AR,1712979652
349,katsuura,35.1333,140.3,289.24,72,86,8.78,JP,1712979652
350,caazapa,-26.15,-56.4,297.18,84,100,1.33,PY,1712979652
351,padra,22.2333,73.0833,300.2,78,30,4.12,IN,1712979653
352,palopo,-2.9996,120.1921,302.14,74,56,2.19,ID,1712979653
353,barra dos coqueiros,-10.9089,-37.0386,302.16,79,40,3.6,BR,1712979653
354,vavozh,56.7751,51.931,278.02,93,100,6.24,RU,1712979653
355,urengoy,65.9667,78.3667,269.16,94,100,8.22,RU,1712979654
356,kanoya,31.3833,130.85,293.69,80,100,1.97,JP,1712979654
357,xingcheng,40.6167,120.7167,286.32,77,87,7.43,CN,1712979654
358,kudahuvadhoo,2.6708,72.8944,302.37,72,99,2.4,MV,1712979655
359,varna,43.2167,27.9167,286.23,82,44,2.06,BG,1712979655
360,nassau,40.7507,-73.5829,287.51,74,100,4.12,US,1712979655
361,burdur,37.7203,30.2908,278.54,87,0,1.03,TR,1712979656
362,camiri,-20.05,-63.5167,290.33,96,100,0.75,BO,1712979656
363,west odessa,31.8424,-102.4988,295.75,18,0,7.2,US,1712979656
364,saipan,15.1355,145.701,303.54,70,40,8.75,MP,1712979657
365,guangming,45.3333,122.7833,298.62,30,48,4.95,CN,1712979657
